ID,Label,Definition,PROMOT Cross-reference,Associated Phenotype (URI),Associated Phenotype (label),Assesses Phenotype (URI),Assesses Phenotype (label),Assesses Function (URI),Assesses Function (label),Captures Data About (URI),Captures Data About (label),Associated Function (URI),Associated Function (label),Involved In (URI),Involved In (label),Located In (URI),Located In (label)
ID,LABEL,A IAO:0000115,A oboInOwl:hasDbXref,A nmdo:associated_phenotype SPLIT=|,A nmdo:associated_phenotype_label SPLIT=|,A nmdo:assesses_phenotype SPLIT=|,A nmdo:assesses_phenotype_label SPLIT=|,A nmdo:assesses_function SPLIT=|,A nmdo:assesses_function_label SPLIT=|,A nmdo:captures_data_about SPLIT=|,A nmdo:captures_data_about_label SPLIT=|,A nmdo:associated_function SPLIT=|,A nmdo:associated_function_label SPLIT=|,A nmdo:involved_in SPLIT=|,A nmdo:involved_in_label SPLIT=|,A nmdo:located_in SPLIT=|,A nmdo:located_in_label SPLIT=|
http://purl.obolibrary.org/obo/HP_0012531,Pain,,http://id.who.int/icd/entity/203515404,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0001862,Vestibular labyrinth,,http://id.who.int/icd/entity/68679181,http://purl.obolibrary.org/obo/HP_0002141,Gait imbalance,"","","","","","",http://id.who.int/icd/entity/1831985718,Vestibular function of balance,"","","",""
http://purl.obolibrary.org/obo/UBERON_0000948,Heart,,http://id.who.int/icd/entity/834607195,http://purl.obolibrary.org/obo/HP_0001638|http://purl.obolibrary.org/obo/HP_0001638|http://purl.obolibrary.org/obo/HP_0001713|http://purl.obolibrary.org/obo/HP_0030872,Cardiomyopathy|Cardiomyopathy |Abnormal cardiac ventricle morphology|Abnormal cardiac ventricular function,"","","","","","",http://id.who.int/icd/entity/1399000785|http://id.who.int/icd/entity/1780196241|http://id.who.int/icd/entity/2100545361,Contraction force of ventricular muscles|Heart rhythm|Heart rate,"","","",""
http://purl.obolibrary.org/obo/MONDO_0021140,Congenital,Age catefory corresponding to birth.,http://purl.obolibrary.org/obo/PROMOT_0010028,"","","","","","","","","","","","","",""
