ID,Label,Definition,Type,Parent Class,PROMOT Cross-reference,Associated Phenotype (URI),Associated Phenotype (label),Assesses Phenotype (URI),Assesses Phenotype (label),Assesses Function (URI),Assesses Function (label),Captures Data About (URI),Captures Data About (label),Associated Function (URI),Associated Function (label),Involved In (URI),Involved In (label),Located In (URI),Located In (label)
http://id.who.int/icd/entity/1831985718,Vestibular function of balance,Sensory functions of the inner ear related to determining the balance of the body.,owl:Class,http://id.who.int/icd/entity/1607952955,http://id.who.int/icd/entity/1831985718,http://snomed.info/id/12894003,Functional assessment,"","","","","","","","",http://id.who.int/icd/entity/2048203604,Mobility,"",""
http://id.who.int/icd/entity/1834472768,Transportation of mucus,Functions of transportation of mucus of upper and lower airways.,owl:Class,http://id.who.int/icd/entity/184992399,http://id.who.int/icd/entity/1834472768,http://snomed.info/id/84100007|http://snomed.info/id/84100007|http://snomed.info/id/84100007|http://snomed.info/id/84100007,"Clinical interview|History taking|History taking, health|Taking health history","","","","","","","","","","","",""
http://id.who.int/icd/entity/1839310222,Muscle tone functions,Functions related to the tension present in the resting muscles and the resistance offered when trying to move the muscles passively.,owl:Class,http://id.who.int/icd/entity/1164313611,http://id.who.int/icd/entity/1839310222,"","","","","","","","","","","","","",""
http://id.who.int/icd/entity/1843740951,"The eye, ear and related structures",,owl:Class,http://id.who.int/icd/entity/1626363729,http://id.who.int/icd/entity/1843740951,"","","","","","","","","","","","","",""
http://id.who.int/icd/entity/1846694084,Quality of voice,"Functions of the production of characteristics of voice including pitch, resonance and other features.",owl:Class,http://id.who.int/icd/entity/712570723,http://id.who.int/icd/entity/1846694084,"","","","","","","","","","","","","",""
http://id.who.int/icd/entity/184992399,Functions related to mucus,,owl:Class,http://id.who.int/icd/entity/1682107878,http://id.who.int/icd/entity/184992399,"","","","","","","","","","","","","",""
http://id.who.int/icd/entity/1851215071,Rolling over,Moving the body from one position to another while lying such as turning from side to side or from stomach to back.,owl:Class,http://id.who.int/icd/entity/150502901,http://id.who.int/icd/entity/1851215071,"","","","","","","","","","","","","",""
http://id.who.int/icd/entity/1864074583,Energy level,Mental functions that produce vigour and stamina.,owl:Class,http://id.who.int/icd/entity/723665457,http://id.who.int/icd/entity/1864074583,"","","","","","","","","","","","","",""
http://id.who.int/icd/entity/1867012554,Muscles of upper arm,,owl:Class,http://id.who.int/icd/entity/640373779,http://id.who.int/icd/entity/1867012554,http://purl.obolibrary.org/obo/HP_0003694|http://purl.obolibrary.org/obo/HP_0009028|http://purl.obolibrary.org/obo/HP_0009073|http://purl.obolibrary.org/obo/HP_0030200|http://purl.obolibrary.org/obo/HP_0030200|http://purl.obolibrary.org/obo/HP_0031108,Late-onset proximal muscle weakness|Generalized weakness of limb muscles|Progressive proximal muscle weakness|Fatiguable weakness of proximal limb muscles|Fatiguable weakness of proximal limb muscles |Triceps weakness,"","","","","","",http://id.who.int/icd/entity/1521707777|http://id.who.int/icd/entity/1789365017,Endurance of muscle groups|Power of isolated muscles and muscle groups,"","","",""
http://id.who.int/icd/entity/1873256446,Community life,"Engaging in aspects of community social life, such as engaging in charitable organizations, services clubs or professional social organizations.",owl:Class,http://id.who.int/icd/entity/1436113794,http://id.who.int/icd/entity/1873256446,"","","","","","","","","","","","","",""
http://id.who.int/icd/entity/1874889854,Muscles of head and neck region,,owl:Class,http://id.who.int/icd/entity/436620656,http://id.who.int/icd/entity/1874889854,http://purl.obolibrary.org/obo/HP_0000183|http://purl.obolibrary.org/obo/HP_0000508|http://purl.obolibrary.org/obo/HP_0002033|http://purl.obolibrary.org/obo/HP_0002058|http://purl.obolibrary.org/obo/HP_0002068|http://purl.obolibrary.org/obo/HP_0002483|http://purl.obolibrary.org/obo/HP_0003306|http://purl.obolibrary.org/obo/HP_0003722|http://purl.obolibrary.org/obo/HP_0005216|http://purl.obolibrary.org/obo/HP_0012473|http://purl.obolibrary.org/obo/HP_0030193|http://purl.obolibrary.org/obo/HP_0030194|http://purl.obolibrary.org/obo/HP_0030194|http://purl.obolibrary.org/obo/HP_0030195|http://purl.obolibrary.org/obo/HP_0030195|http://purl.obolibrary.org/obo/HP_0030199|http://purl.obolibrary.org/obo/HP_0030199|http://purl.obolibrary.org/obo/HP_0030319|http://purl.obolibrary.org/obo/HP_0031146|http://purl.obolibrary.org/obo/HP_0031162|http://purl.obolibrary.org/obo/HP_0200136|http://purl.obolibrary.org/obo/PROMOT_0032016|http://purl.obolibrary.org/obo/PROMOT_0032017|http://purl.obolibrary.org/obo/PROMOT_0032020|http://purl.obolibrary.org/obo/PROMOT_0032023,Tongue muscle weakness|Ptosis|Poor suck|Myopathic facies|Neuromuscular dysphagia|Bulbar signs|Spinal rigidity|Neck flexor weakness|Impaired mastication|Tongue atrophy|Fatigable weakness of chewing muscles|Fatigable weakness of speech muscles|Fatigable weakness of speech muscles |Fatigable weakness of swallowing muscles|Fatigable weakness of swallowing muscles |Fatigable weakness of neck muscles|Fatigable weakness of neck muscles |Weakness of facial musculature|Impaired oral bolus formation|Impaired oropharyngeal swallow response|Oral-pharyngeal dysphagia|Dysphagia for liquid|Dysphagia for solid|Fatigable weakness of facial musculature|Weakness of chewing muscles,"","","","","","",http://id.who.int/icd/entity/1041382491|http://id.who.int/icd/entity/1174312718|http://id.who.int/icd/entity/1389818830|http://id.who.int/icd/entity/1521707777|http://id.who.int/icd/entity/1580195090|http://id.who.int/icd/entity/1789365017|http://id.who.int/icd/entity/1806589582|http://id.who.int/icd/entity/2089171534|http://id.who.int/icd/entity/691689627|http://id.who.int/icd/entity/712570723|http://id.who.int/icd/entity/841397411,Oral swallowing|Manipulation of food in the mouth|Chewing|Endurance of muscle groups|Digestive functions|Power of isolated muscles and muscle groups|Biting|Sucking|Pharyngeal swallowing|Voice functions|Sensation of muscle stiffness,"","","",""
http://id.who.int/icd/entity/1896301954,Listening,"Using the sense of hearing intentionally to experience auditory stimuli, such as listening to a radio, to the human voice, to music, to a lecture, or to a story told.",owl:Class,http://id.who.int/icd/entity/735194884,http://id.who.int/icd/entity/1896301954,http://snomed.info/id/84100007|http://snomed.info/id/84100007|http://snomed.info/id/84100007|http://snomed.info/id/84100007,"Clinical interview|History taking|History taking, health|Taking health history","","","","","","","","","","","",""
http://id.who.int/icd/entity/1916167881,Sensory functions and pain,"This chapter is about the functions of the senses, seeing, hearing, tasting and so on, as well as the sensation of pain.",owl:Class,http://id.who.int/icd/entity/567313968,http://id.who.int/icd/entity/1916167881,"","","","","","","","","","","","","",""
http://id.who.int/icd/entity/1919311435,Articulation functions,Functions of the production of speech sounds.,owl:Class,http://id.who.int/icd/entity/388067588,http://id.who.int/icd/entity/1919311435,http://snomed.info/id/84100007|http://snomed.info/id/84100007|http://snomed.info/id/84100007|http://snomed.info/id/84100007,"Clinical interview|History taking|History taking, health|Taking health history","","","","","","","","",http://id.who.int/icd/entity/151046878,Speaking,"",""
http://id.who.int/icd/entity/1929433903,Structure of lower extremity,,owl:Class,http://id.who.int/icd/entity/644658903,http://id.who.int/icd/entity/1929433903,"","","","","","","","","","","","","",""
http://id.who.int/icd/entity/1976873960,Functions related to the digestive system,,owl:Class,http://id.who.int/icd/entity/850289698,http://id.who.int/icd/entity/1976873960,"","","","","","","","","","","","","",""
http://id.who.int/icd/entity/1986061142,not applicable,,owl:Class,http://id.who.int/icd/entity/437219407,http://id.who.int/icd/entity/1986061142,"","","","","","","","","","","","","",""
http://id.who.int/icd/entity/1993770860,Going up and down stairs,Moving upwards and downwards so that at least one foot is always on the ground such as ascending and descending stairs or curbs.,owl:Class,http://id.who.int/icd/entity/1334556216,http://id.who.int/icd/entity/1993770860,"","","","","","","","","","","","","",""
http://id.who.int/icd/entity/2011053685,Learning and applying knowledge,"This chapter is about learning, applying the knowledge that is learned, thinking, solving problems, and making decisions.",owl:Class,http://purl.obolibrary.org/obo/PROMOT_0110001,http://id.who.int/icd/entity/2011053685,"","","","","","","","","","","","","",""
http://id.who.int/icd/entity/2021370201,Functions of the eyelid,"Functions of the eyelid, such as the protective reflex.",owl:Class,http://id.who.int/icd/entity/2031311308,http://id.who.int/icd/entity/2021370201,http://snomed.info/id/12894003,Functional assessment,"","","","","","","","","","","",""
http://id.who.int/icd/entity/2022689055,Visual acuity functions,"Seeing functions of sensing form and contour, both binocular and monocular, for both distant and near vision.",owl:Class,http://id.who.int/icd/entity/848997900,http://id.who.int/icd/entity/2022689055,http://snomed.info/id/84100007|http://snomed.info/id/84100007|http://snomed.info/id/84100007|http://snomed.info/id/84100007,"Clinical interview|History taking|History taking, health|Taking health history","","","","","","","","","","","",""
http://id.who.int/icd/entity/2031311308,Functions of structures adjoining the eye,Functions of structures in and around the eye that facilitate seeing functions.,owl:Class,http://id.who.int/icd/entity/890173921,http://id.who.int/icd/entity/2031311308,"","","","","","","","","","","","","",""
http://id.who.int/icd/entity/2048203604,Mobility,"This chapter is about moving by changing body position or location or by transferring from one place to another, by carrying, moving or manipulating objects, by walking, running or climbing, and by using various forms of transportation.",owl:Class,http://purl.obolibrary.org/obo/PROMOT_0110001,http://id.who.int/icd/entity/2048203604,http://snomed.info/id/12894003,Functional assessment,"","","","","","","","","","","",""
http://id.who.int/icd/entity/2052957777,Expression of spoken language,Mental functions necessary to produce meaningful spoken messages.,owl:Class,http://id.who.int/icd/entity/2069698903,http://id.who.int/icd/entity/2052957777,"","","","","","","","","","",http://id.who.int/icd/entity/151046878,Speaking,"",""
http://id.who.int/icd/entity/2060264919,Structures involved in voice and speech,,owl:Class,http://id.who.int/icd/entity/1626363729,http://id.who.int/icd/entity/2060264919,"","","","","","","","","","","","","",""
http://id.who.int/icd/entity/2067741200,Testes and scrotum,,owl:Class,http://id.who.int/icd/entity/606087144,http://id.who.int/icd/entity/2067741200,http://purl.obolibrary.org/obo/HP_0000028,Cryptorchidism,"","","","","","",http://id.who.int/icd/entity/859818654,"Penis, testes and scrotum development","","","",""
http://id.who.int/icd/entity/2069220714,front,,owl:Class,http://id.who.int/icd/entity/437219407,http://id.who.int/icd/entity/2069220714,"","","","","","","","","","","","","",""
http://id.who.int/icd/entity/2069371821,Rhythm of speech,"Functions of the modulated, tempo and stress patterns in speech.",owl:Class,http://id.who.int/icd/entity/213697684,http://id.who.int/icd/entity/2069371821,"","","","","","","","","","","","","",""
http://id.who.int/icd/entity/2069698903,Expression of language,"Specific mental functions necessary to produce meaningful messages in spoken, written, signed or other forms of language.",owl:Class,http://id.who.int/icd/entity/1811133755,http://id.who.int/icd/entity/2069698903,"","","","","","","","","","","","","",""
http://id.who.int/icd/entity/2089171534,Sucking,"Functions of drawing food or liquids into the mouth by a suction force produced by movements of the cheeks, lips and tongue.",owl:Class,http://id.who.int/icd/entity/363211474,http://id.who.int/icd/entity/2089171534,http://snomed.info/id/84100007|http://snomed.info/id/84100007|http://snomed.info/id/84100007|http://snomed.info/id/84100007,"Clinical interview|History taking|History taking, health|Taking health history","","","","","","","","",http://id.who.int/icd/entity/1328675264|http://id.who.int/icd/entity/553784299,Eating|Drinking,"",""
http://id.who.int/icd/entity/2090906765,Thermoregulatory functions,Functions of the regulation of body temperature.,owl:Class,http://id.who.int/icd/entity/552193364,http://id.who.int/icd/entity/2090906765,http://snomed.info/id/84100007|http://snomed.info/id/84100007|http://snomed.info/id/84100007|http://snomed.info/id/84100007,"Clinical interview|History taking|History taking, health|Taking health history","","","","","","","","","","","",""
http://id.who.int/icd/entity/2100545361,Heart rate,Functions related to the number of times the heart contracts every minute.,owl:Class,http://id.who.int/icd/entity/222589883,http://id.who.int/icd/entity/2100545361,http://snomed.info/id/84100007|http://snomed.info/id/84100007|http://snomed.info/id/84100007|http://snomed.info/id/84100007,"Clinical interview|History taking|History taking, health|Taking health history","","","","","","","","","","","",""
http://id.who.int/icd/entity/213697684,Fluency and rhythm of speech functions,Functions of the production of flow and tempo of speech.,owl:Class,http://id.who.int/icd/entity/388067588,http://id.who.int/icd/entity/213697684,http://snomed.info/id/84100007|http://snomed.info/id/84100007|http://snomed.info/id/84100007|http://snomed.info/id/84100007,"Clinical interview|History taking|History taking, health|Taking health history","","","","","","","","",http://id.who.int/icd/entity/151046878,Speaking,"",""
http://id.who.int/icd/entity/213893837,Bones,,owl:Class,http://id.who.int/icd/entity/1438965984,http://id.who.int/icd/entity/213893837,http://purl.obolibrary.org/obo/HP_0000767|http://purl.obolibrary.org/obo/HP_0000768|http://purl.obolibrary.org/obo/HP_0000774|http://purl.obolibrary.org/obo/HP_0000886|http://purl.obolibrary.org/obo/HP_0000886|http://purl.obolibrary.org/obo/HP_0004322|http://purl.obolibrary.org/obo/HP_6000327,Pectus excavatum|Pectus carinatum|Narrow chest|Deformed rib cage|Deformed rib cage |Short stature|Thoracic cage flatness,"","","","","","","","","","","",""
http://id.who.int/icd/entity/222589883,Heart functions,Functions of pumping the blood in adequate or required amounts and pressure throughout the body.,owl:Class,http://id.who.int/icd/entity/719872561,http://id.who.int/icd/entity/222589883,"","","","","","","","","","","","","",""
http://id.who.int/icd/entity/232409592,Structure of pelvic region,,owl:Class,http://id.who.int/icd/entity/644658903,http://id.who.int/icd/entity/232409592,"","","","","","","","","","","","","",""
